method,seed,episode,loss,reward,useful_correct,redundant_correct,no_search_correct,distractor_wrong,useful_minus_redundant,avg_prefix_ig,avg_redundancy_penalty
reward_tpo,0,1,1.0514533519744873,0.03125,0.0,0.0,0.0,0.46875,0.0,-0.04600560665130615,0.9140625
reward_tpo,0,2,1.233279824256897,0.0625,0.0,0.0,0.0,0.5625,0.0,-0.0492388978600502,0.75
reward_tpo,0,3,1.1074503660202026,0.0625,0.0,0.0,0.0,0.625,0.0,-0.10449081659317017,0.890625
prefixig_tpo_rg_eff,0,1,1.257384181022644,0.03125,0.0,0.0,0.0,0.46875,0.0,-0.04510349780321121,0.9453125
prefixig_tpo_rg_eff,0,2,1.2960798740386963,0.03125,0.0,0.0,0.0,0.53125,0.0,-0.016316499561071396,0.8359375
prefixig_tpo_rg_eff,0,3,1.3829765319824219,0.03125,0.0,0.0,0.0,0.59375,0.0,-0.0655178427696228,0.921875
