beta,regime,correct,useful,redundant,distractor,useful_red,num_cases,num_samples
0.02,singlehop,0.8964285667874143,0.6964285667874143,0.2,0.10357143321258573,0.49642856678741426,5,10
0.02,multihop,0.40163103532517763,0.40163103532517763,0.0,0.5983689646748223,0.40163103532517763,5,10
0.02,noisy,0.701984395752393,0.701984395752393,0.0,0.298015604247607,0.701984395752393,5,10
0.1,singlehop,1.0,0.8,0.2,0.0,0.6000000000000001,5,10
0.1,multihop,1.0,1.0,0.0,0.0,1.0,5,10
0.1,noisy,1.0,1.0,0.0,0.0,1.0,5,10
