method,seed,episode,loss,reward,useful_correct,redundant_correct,no_search_correct,distractor_wrong,useful_minus_redundant,avg_prefix_ig,avg_redundancy_penalty
reward_tpo,0,1,1.0514533519744873,0.03125,0.0,0.0,0.0,0.40625,0.0,0.06086010858416557,0.8828125
reward_tpo,0,2,1.2332799434661865,0.0625,0.0,0.03125,0.0,0.53125,-0.03125,0.03673330694437027,0.6875
reward_tpo,0,3,1.1074503660202026,0.0625,0.03125,0.0,0.0,0.5625,0.03125,0.05237593874335289,0.796875
prefixig_tpo_rg_eff,0,1,1.3434981107711792,0.03125,0.0,0.0,0.0,0.40625,0.0,0.06636390089988708,0.9375
prefixig_tpo_rg_eff,0,2,1.3546947240829468,0.0625,0.0,0.03125,0.0,0.53125,-0.03125,0.12103840708732605,0.734375
prefixig_tpo_rg_eff,0,3,1.0542809963226318,0.03125,0.0,0.0,0.0,0.5,0.0,0.15425154566764832,0.9375
