method,seed,episode,loss,reward,useful_correct,redundant_correct,no_search_correct,distractor_wrong,useful_minus_redundant,avg_prefix_ig,avg_redundancy_penalty
reward_tpo,0,1,1.7471752166748047,0.125,0.013020833022892475,0.0026041667442768812,0.0026041667442768812,0.359375,0.010416666278615594,0.006882172077894211,0.8365885615348816
reward_tpo,0,20,1.1474554538726807,0.7239583134651184,0.015625,0.0026041667442768812,0.0,0.046875,0.013020833255723119,0.002924262546002865,0.6145833134651184
reward_tpo,0,40,1.4549373388290405,0.8385416865348816,0.02604166604578495,0.0,0.0,0.02083333395421505,0.02604166604578495,0.017391810193657875,0.6087239384651184
reward_tpo,0,60,1.567767858505249,0.8125,0.02604166604578495,0.0,0.0,0.0234375,0.02604166604578495,0.010997685603797436,0.580078125
reward_tpo,0,80,1.6031548976898193,0.84375,0.013020833022892475,0.0,0.0026041667442768812,0.02083333395421505,0.013020833022892475,7.594625003548572e-06,0.5813801884651184
reward_tpo,0,100,1.535461187362671,0.875,0.015625,0.0,0.0,0.0078125,0.015625,0.00766793405637145,0.5787760615348816
reward_tpo,0,120,1.6353061199188232,0.8854166865348816,0.013020833022892475,0.0026041667442768812,0.0,0.010416666977107525,0.010416666278615594,0.006368868052959442,0.5670573115348816
reward_tpo,0,140,1.7051565647125244,0.8828125,0.013020833022892475,0.0,0.0,0.0052083334885537624,0.013020833022892475,0.009458671323955059,0.5475260615348816
reward_tpo,0,160,1.691130518913269,0.8854166865348816,0.02083333395421505,0.0,0.0,0.013020833022892475,0.02083333395421505,0.009054888971149921,0.5533854365348816
reward_tpo,0,180,1.7738304138183594,0.90625,0.015625,0.0,0.0,0.0078125,0.015625,0.011417423374950886,0.564453125
reward_tpo,0,200,1.7442560195922852,0.9088541865348816,0.015625,0.0,0.0,0.0078125,0.015625,0.006681346800178289,0.544921875
reward_tpo,1,1,1.7593603134155273,0.0625,0.0052083334885537624,0.0,0.0026041667442768812,0.3203125,0.0052083334885537624,0.07082713395357132,1.1184896230697632
reward_tpo,1,20,1.1304185390472412,0.703125,0.0364583320915699,0.0078125,0.0078125,0.046875,0.0286458320915699,0.03632032498717308,0.8515625
reward_tpo,1,40,1.1522972583770752,0.7682291865348816,0.015625,0.0234375,0.0078125,0.0520833320915699,-0.0078125,0.03692173585295677,1.384765625
reward_tpo,1,60,1.337515115737915,0.8177083134651184,0.0520833320915699,0.02604166604578495,0.0052083334885537624,0.0338541679084301,0.02604166604578495,0.06064751744270325,1.224609375
reward_tpo,1,80,1.310049057006836,0.8541666865348816,0.02864583395421505,0.02083333395421505,0.0052083334885537624,0.0494791679084301,0.0078125,0.032735425978899,1.41796875
reward_tpo,1,100,1.253064513206482,0.8541666865348816,0.0494791679084301,0.0234375,0.01822916604578495,0.0234375,0.0260416679084301,0.06057042255997658,1.310546875
reward_tpo,1,120,1.3791478872299194,0.8723958134651184,0.0338541679084301,0.03125,0.010416666977107525,0.0234375,0.0026041679084300995,0.044461440294981,1.26953125
reward_tpo,1,140,1.3194890022277832,0.8489583134651184,0.0338541679084301,0.02083333395421505,0.013020833022892475,0.0364583320915699,0.01302083395421505,0.04914313927292824,1.2845052480697632
reward_tpo,1,160,1.3745841979980469,0.890625,0.0807291641831398,0.02604166604578495,0.01822916604578495,0.02083333395421505,0.05468749813735485,0.06553581357002258,1.2669271230697632
reward_tpo,1,180,1.375248908996582,0.8880208134651184,0.0390625,0.02864583395421505,0.01822916604578495,0.01822916604578495,0.01041666604578495,0.04270602762699127,1.1126302480697632
reward_tpo,1,200,1.4305360317230225,0.8984375,0.0390625,0.0442708320915699,0.013020833022892475,0.0234375,-0.0052083320915699005,0.06054895743727684,1.2135416269302368
reward_tpo,2,1,1.792989730834961,0.1588541716337204,0.013020833022892475,0.02083333395421505,0.0,0.2213541716337204,-0.007812500931322575,0.11255466192960739,1.1959635019302368
reward_tpo,2,20,1.2957537174224854,0.6953125,0.0625,0.015625,0.0052083334885537624,0.0885416641831398,0.046875,0.04415363073348999,1.0247396230697632
reward_tpo,2,40,1.5011870861053467,0.8177083134651184,0.0520833320915699,0.0598958320915699,0.0026041667442768812,0.0572916679084301,-0.0078125,0.07127878069877625,1.0201822519302368
reward_tpo,2,60,1.44718337059021,0.8385416865348816,0.02864583395421505,0.0338541679084301,0.013020833022892475,0.0520833320915699,-0.00520833395421505,0.03322039917111397,1.0319010019302368
reward_tpo,2,80,1.4816769361495972,0.8645833134651184,0.046875,0.0234375,0.0078125,0.0572916679084301,0.0234375,0.04263165593147278,0.951171875
reward_tpo,2,100,1.4887651205062866,0.8828125,0.03125,0.01822916604578495,0.0026041667442768812,0.03125,0.01302083395421505,0.02999872900545597,0.98046875
reward_tpo,2,120,1.5812921524047852,0.9088541865348816,0.03125,0.0416666679084301,0.0078125,0.02083333395421505,-0.0104166679084301,0.037436019629240036,1.0052083730697632
reward_tpo,2,140,1.5282748937606812,0.8958333134651184,0.0338541679084301,0.02864583395421505,0.0026041667442768812,0.02083333395421505,0.00520833395421505,0.03742748498916626,0.9856770634651184
reward_tpo,2,160,1.5902856588363647,0.90625,0.0546875,0.0338541679084301,0.013020833022892475,0.01822916604578495,0.0208333320915699,0.058507662266492844,1.0227864980697632
reward_tpo,2,180,1.5530122518539429,0.8880208134651184,0.0416666679084301,0.02604166604578495,0.0052083334885537624,0.0390625,0.01562500186264515,0.0361739844083786,1.0078125
reward_tpo,2,200,1.6614997386932373,0.9192708134651184,0.0625,0.03125,0.013020833022892475,0.02864583395421505,0.03125,0.06264380365610123,0.9192708134651184
reward_tpo,3,1,1.7589259147644043,0.1041666641831398,0.010416666977107525,0.0078125,0.0052083334885537624,0.4427083432674408,0.002604166977107525,0.04492165520787239,0.83203125
reward_tpo,3,20,1.1897521018981934,0.7135416865348816,0.02604166604578495,0.0026041667442768812,0.0078125,0.078125,0.02343749930150807,0.012890844605863094,0.79296875
reward_tpo,3,40,1.5309218168258667,0.8489583134651184,0.015625,0.0026041667442768812,0.02083333395421505,0.0494791679084301,0.013020833255723119,-0.006449932232499123,0.6705729365348816
reward_tpo,3,60,1.417452335357666,0.8802083134651184,0.013020833022892475,0.0026041667442768812,0.02864583395421505,0.03125,0.010416666278615594,-0.0005519840051420033,0.6373698115348816
reward_tpo,3,80,1.4691104888916016,0.9114583134651184,0.0234375,0.0,0.013020833022892475,0.02864583395421505,0.0234375,-0.008584876544773579,0.6171875
reward_tpo,3,100,1.512250304222107,0.8880208134651184,0.013020833022892475,0.0,0.0078125,0.0338541679084301,0.013020833022892475,-0.007747462019324303,0.6087239384651184
reward_tpo,3,120,1.5088156461715698,0.9140625,0.01822916604578495,0.0052083334885537624,0.010416666977107525,0.02083333395421505,0.013020832557231188,0.005441328976303339,0.67578125
reward_tpo,3,140,1.5156291723251343,0.9322916865348816,0.02083333395421505,0.0052083334885537624,0.010416666977107525,0.02083333395421505,0.015625000465661287,-0.0199484433978796,0.6471354365348816
reward_tpo,3,160,1.553824782371521,0.8958333134651184,0.02083333395421505,0.0078125,0.013020833022892475,0.02864583395421505,0.01302083395421505,-0.0029707683715969324,0.6236979365348816
reward_tpo,3,180,1.5270808935165405,0.9114583134651184,0.010416666977107525,0.0052083334885537624,0.01822916604578495,0.0390625,0.0052083334885537624,-0.014977539889514446,0.619140625
reward_tpo,3,200,1.5167596340179443,0.9244791865348816,0.015625,0.0078125,0.02083333395421505,0.02083333395421505,0.0078125,-0.009878131560981274,0.6321614384651184
reward_tpo,4,1,1.688739538192749,0.1484375,0.0052083334885537624,0.010416666977107525,0.0052083334885537624,0.234375,-0.0052083334885537624,0.07901836186647415,1.02734375
reward_tpo,4,20,1.2162264585494995,0.7552083134651184,0.015625,0.0026041667442768812,0.0052083334885537624,0.0494791679084301,0.013020833255723119,0.012812137603759766,0.7154948115348816
reward_tpo,4,40,1.362635612487793,0.8541666865348816,0.046875,0.013020833022892475,0.0078125,0.0390625,0.033854166977107525,0.027560479938983917,0.6653645634651184
reward_tpo,4,60,1.4463423490524292,0.8776041865348816,0.0520833320915699,0.013020833022892475,0.0052083334885537624,0.02604166604578495,0.039062499068677425,0.04123448207974434,0.6666666865348816
reward_tpo,4,80,1.4795329570770264,0.859375,0.0520833320915699,0.010416666977107525,0.0052083334885537624,0.0520833320915699,0.041666665114462376,0.028497695922851562,0.650390625
reward_tpo,4,100,1.468510389328003,0.8958333134651184,0.02864583395421505,0.013020833022892475,0.0026041667442768812,0.02083333395421505,0.015625000931322575,0.03555833175778389,0.7005208134651184
reward_tpo,4,120,1.5587034225463867,0.8932291865348816,0.0546875,0.0052083334885537624,0.0078125,0.0234375,0.04947916651144624,0.04224138334393501,0.6432291865348816
reward_tpo,4,140,1.477829933166504,0.9192708134651184,0.0442708320915699,0.010416666977107525,0.010416666977107525,0.02604166604578495,0.033854165114462376,0.022421278059482574,0.6471354365348816
reward_tpo,4,160,1.5629361867904663,0.9192708134651184,0.0494791679084301,0.01822916604578495,0.0,0.02083333395421505,0.03125000186264515,0.024617990478873253,0.634765625
reward_tpo,4,180,1.581702709197998,0.9166666865348816,0.046875,0.0052083334885537624,0.0026041667442768812,0.0234375,0.04166666651144624,0.018682515248656273,0.6673176884651184
reward_tpo,4,200,1.5143065452575684,0.9036458134651184,0.0677083358168602,0.0052083334885537624,0.010416666977107525,0.015625,0.06250000232830644,0.03886359557509422,0.6516926884651184
prefixig_grpo,0,1,-0.09426330775022507,0.125,0.015625,0.0052083334885537624,0.0078125,0.3098958432674408,0.010416666511446238,0.04687599465250969,0.9583333134651184
prefixig_grpo,0,20,-0.04731675982475281,0.4921875,0.0807291641831398,0.2994791567325592,0.0,0.1822916716337204,-0.2187499925494194,0.6103973388671875,1.3294271230697632
prefixig_grpo,0,40,-0.012828964740037918,0.921875,0.1927083283662796,0.609375,0.01822916604578495,0.03125,-0.4166666716337204,0.689568042755127,1.4446614980697632
prefixig_grpo,0,60,-0.01032252237200737,0.9661458134651184,0.375,0.4505208432674408,0.0442708320915699,0.0078125,-0.0755208432674408,0.729989230632782,1.1510416269302368
prefixig_grpo,0,80,-0.01326829008758068,0.9765625,0.3828125,0.4166666567325592,0.0416666679084301,0.0026041667442768812,-0.033854156732559204,0.7129462361335754,1.0559896230697632
prefixig_grpo,0,100,0.0017922837287187576,0.984375,0.4166666567325592,0.359375,0.02083333395421505,0.0,0.057291656732559204,0.7424910664558411,0.8561198115348816
prefixig_grpo,0,120,-0.0015418503899127245,1.0,0.4114583432674408,0.3984375,0.02864583395421505,0.0,0.013020843267440796,0.747262179851532,0.8326823115348816
prefixig_grpo,0,140,-0.0020633309613913298,0.9921875,0.5494791865348816,0.2265625,0.0364583320915699,0.0,0.3229166865348816,0.7622691988945007,0.6634114384651184
prefixig_grpo,0,160,-0.0005714502185583115,0.9869791865348816,0.578125,0.203125,0.0364583320915699,0.0,0.375,0.7622054219245911,0.59375
prefixig_grpo,0,180,-9.457643318455666e-05,0.9921875,0.6067708134651184,0.1458333283662796,0.03125,0.0052083334885537624,0.4609374850988388,0.7557985782623291,0.5989583134651184
prefixig_grpo,0,200,-0.00020752444106619805,0.9947916865348816,0.5182291865348816,0.2604166567325592,0.02604166604578495,0.0,0.2578125298023224,0.7396056652069092,0.671875
prefixig_grpo,1,1,-0.07835665345191956,0.0442708320915699,0.0052083334885537624,0.0,0.0026041667442768812,0.2916666567325592,0.0052083334885537624,0.1250825673341751,1.25390625
prefixig_grpo,1,20,-0.02664981037378311,0.1744791716337204,0.010416666977107525,0.1458333283662796,0.0,0.21875,-0.13541666138917208,0.6924564242362976,1.125
prefixig_grpo,1,40,-0.02835385501384735,0.6848958134651184,0.2473958283662796,0.3072916567325592,0.0364583320915699,0.078125,-0.0598958283662796,0.7270536422729492,0.9205729365348816
prefixig_grpo,1,60,-0.002980885561555624,0.9401041865348816,0.4973958432674408,0.3177083432674408,0.0364583320915699,0.015625,0.1796875,0.7976577877998352,0.7063801884651184
prefixig_grpo,1,80,-0.000829569878987968,0.9739583134651184,0.390625,0.4661458432674408,0.02864583395421505,0.0026041667442768812,-0.0755208432674408,0.7648651599884033,0.8541666865348816
prefixig_grpo,1,100,-0.0006271015736274421,0.9921875,0.4270833432674408,0.4192708432674408,0.0416666679084301,0.0026041667442768812,0.0078125,0.7773656249046326,0.841796875
prefixig_grpo,1,120,-0.002605143468827009,0.9947916865348816,0.484375,0.3645833432674408,0.0338541679084301,0.0,0.1197916567325592,0.7891985774040222,0.7513020634651184
prefixig_grpo,1,140,-0.00039581366581842303,0.984375,0.4192708432674408,0.40625,0.03125,0.0052083334885537624,0.013020843267440796,0.7775128483772278,0.8756510615348816
prefixig_grpo,1,160,-6.986254447838292e-05,0.9921875,0.4661458432674408,0.3671875,0.0390625,0.0052083334885537624,0.0989583432674408,0.7874700427055359,0.7955729365348816
prefixig_grpo,1,180,-0.00021968441433273256,0.9869791865348816,0.515625,0.2942708432674408,0.0338541679084301,0.0052083334885537624,0.2213541567325592,0.7996523380279541,0.7506510615348816
prefixig_grpo,1,200,-0.0016182097606360912,0.9921875,0.5208333134651184,0.3307291567325592,0.0416666679084301,0.0,0.1901041567325592,0.7955158352851868,0.6888020634651184
prefixig_grpo,2,1,-0.0662912055850029,0.1119791641831398,0.0052083334885537624,0.0234375,0.0,0.2083333283662796,-0.018229166511446238,0.1835469752550125,1.318359375
prefixig_grpo,2,20,-0.043567903339862823,0.5677083134651184,0.0338541679084301,0.4557291567325592,0.0,0.1354166716337204,-0.4218749888241291,0.6389920115470886,1.5065103769302368
prefixig_grpo,2,40,-0.012588903307914734,0.9114583134651184,0.2630208432674408,0.484375,0.0755208358168602,0.015625,-0.2213541567325592,0.7011876702308655,0.974609375
prefixig_grpo,2,60,-0.007438926957547665,0.953125,0.4739583432674408,0.2682291567325592,0.0546875,0.0052083334885537624,0.2057291865348816,0.7724388241767883,0.7513020634651184
prefixig_grpo,2,80,-0.005114269908517599,0.9791666865348816,0.5260416865348816,0.2317708283662796,0.0703125,0.0052083334885537624,0.294270858168602,0.7737500071525574,0.6998698115348816
prefixig_grpo,2,100,-0.0036505721509456635,0.9869791865348816,0.5104166865348816,0.2552083432674408,0.0677083358168602,0.0,0.2552083432674408,0.7786002159118652,0.72265625
prefixig_grpo,2,120,-0.0009736737119965255,0.9869791865348816,0.5833333134651184,0.1848958283662796,0.09375,0.0052083334885537624,0.3984374850988388,0.7713528275489807,0.5657551884651184
prefixig_grpo,2,140,-0.0010709152556955814,0.9921875,0.5572916865348816,0.2161458283662796,0.0755208358168602,0.0052083334885537624,0.341145858168602,0.7807629108428955,0.642578125
prefixig_grpo,2,160,-0.001510598580352962,0.9921875,0.4895833432674408,0.2734375,0.0859375,0.0,0.2161458432674408,0.7601243853569031,0.7265625
prefixig_grpo,2,180,0.0015785712748765945,1.0,0.6015625,0.1927083283662796,0.078125,0.0,0.4088541716337204,0.8008521199226379,0.5846354365348816
prefixig_grpo,2,200,-0.0001687003968982026,0.9973958134651184,0.6145833134651184,0.1640625,0.078125,0.0,0.4505208134651184,0.7913188934326172,0.5514323115348816
prefixig_grpo,3,1,-0.0725574865937233,0.0807291641831398,0.013020833022892475,0.0052083334885537624,0.0026041667442768812,0.3854166567325592,0.007812499534338713,0.09417436271905899,0.9114583134651184
prefixig_grpo,3,20,-0.03741729259490967,0.1458333283662796,0.0677083358168602,0.0572916679084301,0.0,0.203125,0.0104166679084301,0.6327193379402161,0.8899739384651184
prefixig_grpo,3,40,-0.017577234655618668,0.8776041865348816,0.4817708432674408,0.1666666716337204,0.0755208358168602,0.02604166604578495,0.3151041716337204,0.7135782837867737,0.6067708134651184
