method,seed,episode,loss,reward,useful_correct,redundant_correct,no_search_correct,distractor_wrong,useful_minus_redundant,avg_prefix_ig,avg_redundancy_penalty
reward_tpo,0,1,1.0514533519744873,0.03125,0.0,0.0,0.0,0.40625,0.0,0.007095208391547203,0.9140625
reward_tpo,0,2,1.2332799434661865,0.0625,0.0,0.0,0.0,0.53125,0.0,-0.03535335138440132,0.75
reward_tpo,0,3,1.1074504852294922,0.0625,0.0,0.0,0.0,0.5625,0.0,-0.03200768679380417,0.890625
prefixig_tpo_rg_eff,0,1,1.3178266286849976,0.03125,0.0,0.0,0.0,0.40625,0.0,0.021508485078811646,0.8984375
prefixig_tpo_rg_eff,0,2,1.2404165267944336,0.0625,0.0,0.0,0.0,0.5,0.0,-0.015899812802672386,0.7890625
prefixig_tpo_rg_eff,0,3,1.3876583576202393,0.03125,0.0,0.0,0.0,0.5,0.0,0.02639702335000038,1.0234375
